title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
GOE 308 (MVA H.40) AIRFOIL (goe308-il),32.2,37.9,54.3,55.7,74.2,74.3,103,100.1,126.3,115.1,8.1%,5%
GOE 304 (FRIEDRICHSHAFEN G02) AIRFOIL (goe304-il),33.1,38.9,62,64.1,88.8,86.1,122.8,109.7,145.3,117.2,9%,6.3%
GOE 301 (FRIEDRICHSHAFEN G 13) AIRFOIL (goe301-il),19,38.1,55.7,61.2,81.2,81.1,112.7,108.5,138.2,128.3,10%,6.5%
GOE 300 (FRIEDRICHSHAFEN G20) AIRFOIL (goe300-il),19.9,38.1,54.9,61,79.1,81.2,107.6,105.7,130.4,126.9,8.4%,6.7%
GOE 290 (MVA 290) AIRFOIL (goe290-il),6.6,22.4,41.7,46.8,69,67,96.5,84,112.3,92.4,17.6%,3.9%
GOE 29B AIRFOIL (goe29b-il),22.9,37.7,52.8,57.8,77.2,75,99.4,94.8,118.1,116.5,9.4%,6.5%
GOE 298 AIRFOIL (goe298-il),27.6,35.1,52.8,52.3,71.7,65.5,91.7,88.7,112.4,103.4,12.8%,4.5%
GOE 289 (MVA 289) AIRFOIL (goe289-il),4.3,20.7,38.6,46.5,65.9,64.4,92.1,87.4,115.9,109.2,16.8%,6.1%
GOE 288 AIRFOIL (goe288-il),7.6,27.4,43.7,50.6,70.2,69.4,96.5,91.5,117.1,113.9,17.4%,5.5%
GOE 287 AIRFOIL (goe287-il),36.3,38,58.3,59.5,80,77.7,106.3,94.5,123,106.6,8.9%,4.9%
GOE 285 AIRFOIL (goe285-il),26.1,34.6,47.2,50.1,65.2,65.2,89.3,87,109.1,103.5,11.7%,3.7%
GOE 286 AIRFOIL (goe286-il),27.9,37.6,52.2,54.5,72.3,65.5,83.6,78.8,95.3,89.9,9.4%,4.1%
GOE 284 AIRFOIL (goe284-il),4.3,18,34.1,45.2,69,69.5,103.5,95,126.5,107.1,17.7%,5.1%
GOE 282 (DAIMLER XIII) AIRFOIL (goe282-il),34.8,41,57,59,77.4,75.6,102.5,94.8,118.3,105.1,9.1%,5%
GOE 281 (DAIMLER XII) AIRFOIL (goe281-il),36.7,42.1,59,59.6,79.1,75.2,101.1,95.3,118.2,98.2,8%,4.5%
GOE 280 (DAIMLER XI) AIRFOIL (goe280-il),37.3,41.1,55.5,56.8,72.9,70.2,91.6,79.6,98.7,87.3,7.9%,4.5%
GOE 279 (DAIMLER X) AIRFOIL (goe279-il),37.6,42.3,58.3,59,77.4,73.5,96.9,93,113.9,105,7.4%,4.7%
GOE 278 (DAIMLER IX) AIRFOIL (goe278-il),38.5,40.7,55.9,56.4,72.5,72.1,95.9,92.1,113.3,102.2,7.4%,4.3%
GOE 275 (DAIMLER VI) AIRFOIL (goe275-il),34.4,40.2,53.1,55.9,72,73.3,99.7,94.3,118.1,106.7,7.7%,4.7%
GOE 276 (DAIMLER VII) AIRFOIL (goe276-il),36.9,40.4,53,56.2,72.3,73.2,97.6,93.6,114.1,107.1,7.3%,4%
GOE 277 (DAIMLER VIII) AIRFOIL (goe277-il),34,38.6,54.3,55.7,73.5,73.8,100.9,98.7,122.6,118.1,8.3%,4.4%
GOE 274 (DAIMLER V) AIRFOIL (goe274-il),37.6,40.7,55.8,57,73.2,73.2,99,92.3,115.1,105.5,8.7%,4.8%
GOE 269 AIRFOIL (goe269-il),36.1,43.2,59.1,61.5,80.2,79.2,107.7,102.9,127.9,115.6,6.6%,5%
GOE 257 AIRFOIL (goe257-il),38.5,39.8,56.8,57.5,74.9,72.5,96,88.9,109.1,92.8,8.8%,4.1%
GOE 265 AIRFOIL (goe265-il),23,39.1,52.6,61.5,79.3,82,111.2,109.1,136.5,129.7,7.7%,7.3%
GOE 264 AIRFOIL (goe264-il),32.2,41.8,59.9,60.8,79.2,79.7,106.8,104.3,126.9,121.8,6.4%,5.7%
GOE 255 (MVA CA.6) AIRFOIL (goe255-il),5.1,15.2,41.4,47.3,72.4,71.1,105.1,90.5,127.2,96.8,18.5%,4.8%
GOE 244 (MVA PR.4) AIRFOIL (goe244-il),7.9,25,50.1,47.8,73.3,64.3,92.3,79.5,105.6,98.8,17.7%,10%
GOE 256 (JUNKERS E) AIRFOIL (goe256-il),6.2,22.5,45.2,48.3,69.6,64.5,92.6,86.2,112.9,103.5,16%,4.7%
GOE 242 (MVA PR.2) AIRFOIL (goe242-il),6,20.9,46.8,54.4,78.6,80.8,116.8,114.6,146.4,137.9,16.2%,7.5%
GOE 243 (MVA PR.3) AIRFOIL (goe243-il),5.7,17.9,44.6,49.4,70.4,69.4,99.1,90.3,119.1,107.9,19%,8.4%
GOE 239 (MVA H.31) AIRFOIL (goe239-il),17.3,38.8,54.5,60.7,81.8,83.6,118.1,113,144.3,125.6,11.2%,6%
GOE 240 (KOLLER) AIRFOIL (goe240-il),37.7,43.5,62.1,62.2,83.4,78.1,107.6,91.9,121.1,99.4,7%,5.2%
GOE 241 (MVA PR.1) AIRFOIL (goe241-il),4.8,18.8,42.4,49,68.1,67.1,94.5,91.7,120.6,113.2,18.9%,8.4%
GOE 235 (SCHTTE-LANZ) AIRFOIL (goe235-il),36.9,37.5,52.2,48,60.8,57.6,73.9,68.8,80.8,81.6,6.5%,3.5%
GOE 238 (HANSA-BRANDENBURG) AIRFOIL (goe238-il),9.8,24.1,51.2,55.1,80.8,80.8,117.1,110,143.6,130.2,9.8%,5.5%
GOE 234 (MVA CA5) AIRFOIL (goe234-il),10.9,27.7,54.7,56.6,77,79.4,110.6,108.4,137.7,127.1,14.2%,9.2%
GOE 233 (MVA CA4) AIRFOIL (goe233-il),26.4,33.4,60.9,63.1,86.7,87.1,120.7,115.8,146.8,134.9,11.6%,8.2%
GOE 229 (MVA H.39) AIRFOIL (goe229-il),10.8,21.5,45.2,38.5,53.8,40.9,54.8,47.1,59.6,59.2,19.3%,5.9%
GOE 228 (MVA H.38) AIRFOIL (goe228-il),5.6,25.9,45.6,51.6,70.6,66.7,92.9,88.2,116.2,109,17.9%,7%
GOE 227 (MVA H.37) AIRFOIL (goe227-il),7.9,23.3,49.6,58.6,88,88.5,131.7,118.3,155.3,134.8,14.6%,7.8%
GOE 226 (MVA H.36) AIRFOIL (goe226-il),8.6,28.6,52.6,59.7,85.5,78.7,109.8,102.7,135.5,125.9,13.9%,8.1%
GOE 223 (MVA H.34) AIRFOIL (goe223-il),5,15.8,43.4,48.9,73,67,95.5,80.6,108.5,80.4,18.8%,5.7%
GOE 222 (MVA H.33) AIRFOIL (goe222-il),5.2,14.4,42.5,47.5,74.9,67.2,99.2,84.8,115.2,102,18.5%,7.2%
GOE 217 (MVA MK.12) AIRFOIL (goe217-il),5,21.1,40.2,48.2,67,70.6,101.7,99.6,127.5,119.1,19%,6.3%
GOE 210 (DAIMLER) AIRFOIL (goe210-il),40.7,43.8,62,62,82.3,77.9,105.1,86.8,116.7,99.8,6.6%,4.3%
GOE 225 (MVA H.35) AIRFOIL (goe225-il),10.6,33.4,59.3,63.5,87.5,83.3,116.6,107.5,140.6,129,12.8%,7.6%
GOE 207 (AVIATIK V8) AIRFOIL (goe207-il),20.8,33.9,47.4,52,70.4,71.6,99.1,96.9,120.2,113.9,8.8%,6.6%
GOE 199 (L.F.G. 5406) AIRFOIL (goe199-il),36.8,40.4,55.7,54.9,72,67.6,89.8,89.5,108.2,106.3,7.3%,5.2%
GOE 198 (L.F.G. 5294) AIRFOIL (goe198-il),36.2,43.2,64.5,64,88.3,80.4,112.3,92.9,117,92.9,7.8%,6.5%
GOE 195 AIRFOIL (goe195-il),40.7,44,63.3,64.4,86,84,116.7,109.1,139,106.1,8.6%,5.1%
GOE 190 (MVA MK.18) AIRFOIL (goe190-il),15.3,37.2,52.5,57.7,77.3,74.2,100.7,97,121.3,114.6,12.7%,5.9%
GOE 188 (SCHTTE-LANZ 3U10) AIRFOIL (goe188-il),31.6,39.1,51.4,57.1,71.1,74.5,98.4,99,119.1,116.4,8.9%,4.3%
GOE 187 (SCHTTE-LANZ 2U10) AIRFOIL (goe187-il),31.8,40.3,53.7,58.2,74.4,76.1,100.9,98.8,118.9,112.2,8.3%,4.8%
GOE 184 (MVA H.29) AIRFOIL (goe184-il),34,39.5,57.4,60.4,79.4,79.4,107.5,102.7,127.7,111.9,8.3%,5.3%
GOE 182 (MVA H.27) AIRFOIL (goe182-il),29.2,36.5,48.6,51.5,68.6,69.4,98,97.9,122.5,119.8,9.5%,5.3%
GOE 180 (MVA H.26) AIRFOIL (goe180-il),33.2,40.6,55.3,59.5,78.2,77.8,107.4,99.2,126.6,112,8.7%,4.4%
GOE 178 AIRFOIL (goe178-il),37.8,38.9,58.1,58.6,78.1,76.5,104.5,98.5,123,110.5,8.5%,4.4%
GOE 177 AIRFOIL (goe177-il),39.1,41.5,58.3,57.8,74.7,71.5,91.2,79.8,99.9,89.6,7.7%,5%
GOE 176 (ALBATROS 7020) AIRFOIL (goe176-il),30.3,40.2,56,57.5,73.7,73.6,99.2,87,113.1,93.5,10.3%,5.6%
GOE 174 (ALBATROS 5020) AIRFOIL (goe174-il),29.1,40,53.2,59,75.3,76.6,104.4,101.9,125.8,117.5,8.6%,5.6%
GOE 173 (ALBATROS 6020) AIRFOIL (goe173-il),33.1,42.2,56.9,60.3,77.7,75.7,101.6,101.5,124.6,122.3,7.8%,5.9%
GOE 167 (V.KARMAN PROP.2) AIRFOIL (goe167-il),26.6,34,58,58.8,80.8,78.2,106.9,97.9,124.3,108.6,10.1%,4.5%
GOE 165 (MVA MK.11) AIRFOIL (goe165-il),31.3,39.9,54.4,53.4,69.3,66.6,85.7,79.1,96.6,85.7,12.1%,5.7%
GOE 164 (MVA MK.10) AIRFOIL (goe164-il),34.3,43.8,60.8,62.6,81.4,77.4,104.6,92,112.5,102.1,8.9%,6.6%
GOE 15K AIRFOIL (goe15k-il),23.7,20.8,32.5,30.7,49.4,49.1,92.8,67.7,92.4,83.1,15%,3.4%
GOE 155 (SSW D.1) AIRFOIL (goe155-il),40.1,42.4,59.8,61.6,82.6,78.6,107.7,98.6,123.2,111,7%,5.3%
GOE 15 AIRFOIL (goe15-il),8.7,31.5,46.6,53.4,70.7,72.4,126.4,94.3,128.7,115.3,9%,7.8%
GOE 14K AIRFOIL (goe14k-il),25.3,25.4,36,38.8,60.8,59.8,100.5,76.8,98.1,86.1,12%,2.7%
GOE 147 (MVA H.6) AIRFOIL (goe147-il),29.2,36.1,48.6,49.9,64.3,66.1,86.8,86.3,102.8,101.4,7.5%,3.8%
GOE 144 (MVA H.21) AIRFOIL (goe144-il),38.6,41.6,59,60.3,79.3,78,106.1,98.2,125.3,95.4,7.3%,4.7%
GOE 143 (MVA H.20) AIRFOIL (goe143-il),35.3,39.8,53.7,55.4,72.3,70.1,94.9,86.8,109.9,98.2,7.4%,3.8%
GOE 142 (MVA H.19) AIRFOIL (goe142-il),36.1,41,55.7,56.6,74.2,72.4,99,94.8,118.2,111.4,6.2%,3.8%
GOE 140 (MVA H.17) AIRFOIL (goe140-il),28.2,37.3,54.3,56.3,74.8,74,100.7,96.5,119.6,112,8.8%,5.3%
GOE 14 AIRFOIL (goe14-il),17.7,34.4,46.4,53.3,70.1,70,98.6,93.9,122.5,111.3,9.9%,6.9%
GOE 13K AIRFOIL (goe13k-il),25.6,20.9,34.8,30.3,45.8,42.9,92.9,85.8,129,93.9,14.8%,5.5%
GOE 137 (MVA H.15) AIRFOIL (goe137-il),35.2,39.8,56.9,59.5,78.4,77.3,104.3,97.3,120.7,109.2,8.6%,4.4%
GOE 134 (MVA H.12) AIRFOIL (goe134-il),29.4,38.3,50.7,55.2,70.4,71.7,96.1,93.7,114.7,109.7,9.5%,4%
GOE 133 (MVA H.11) AIRFOIL (goe133-il),33.6,40.9,53.8,58.4,74.6,74.7,99.2,93,114.9,108,7.9%,4.3%
GOE 12K AIRFOIL (goe12k-il),28.9,27.3,42.3,40.7,66.2,65.1,114,104.2,146.7,84.6,11.1%,4.1%
GOE 124 (MVA H.4) AIRFOIL (goe124-il),35.9,41.2,60.2,63.9,84.4,83.8,114.8,107.2,133.2,126.4,7.9%,5.6%
GOE 123 AIRFOIL (goe123-il),40.7,45.3,65.8,66.7,92,85,118.8,102.2,129.1,110.8,5.4%,5.7%
GOE 122 (MVA H.2) AIRFOIL (goe122-il),37.6,39.6,55.8,56.7,73.3,72.3,95.7,89.2,110.2,97.3,7.3%,4.1%
GOE 121 (MVA H.1) AIRFOIL (goe121-il),40.6,43.4,60.9,59.9,79.7,74.9,99.1,87,104.6,97.7,6.7%,4.6%
GOE 11K AIRFOIL (goe11k-il),28.2,31.6,41.9,49,72.4,72.9,109.5,99.4,122.4,87.1,7.5%,2.7%
GOE 118 (MVA MK.7) AIRFOIL (goe118-il),24.3,40.7,62,61.7,83.1,82.7,112.3,108.9,134.1,120.6,8.6%,5.7%
GOE 117 (MVA MK.4) AIRFOIL (goe117-il),32.5,38.7,58.4,58.5,78.2,77.8,107.8,104.5,131.1,116.9,9%,4.6%
GOE 116 (MVA MK.3) AIRFOIL (goe116-il),29.6,37.3,58,56.8,78.4,76.2,106.8,81.4,100.3,91.9,9.3%,4.1%
GOE 115 (MVA MK.2) AIRFOIL (goe115-il),32.2,37.9,57.1,57.6,77.6,76.7,108.2,102.9,132,98.7,9.7%,3.7%
GOE 114 (MVA MK.1) AIRFOIL (goe114-il),35.4,32.4,49.7,44.4,60.9,50.8,93.4,74.8,70.6,67.6,9.6%,3.5%
GOE 113 AIRFOIL (goe113-il),37.7,40,54.7,54.3,70,66.8,86.8,78,97.1,83.3,6.7%,3%
GOE 10K AIRFOIL (goe10k-il),20.6,22.7,27.8,33.1,47.1,56.4,88.5,74.8,111.6,61,3.9%,1.4%
GOE 101 AIRFOIL (goe101-il),39.7,41.1,58.7,59.5,77.9,77.2,104.4,100.5,123.8,114.7,6.9%,4%
GOE 100 (SOPWITH) AIRFOIL (goe100-il),37.7,38,54.4,50.9,71.3,61.7,88.2,73.1,88.8,83.1,6.6%,3.6%
GOE 9K AIRFOIL (goe09k-il),20.1,18.7,23.8,23.8,29.3,29.1,79.4,60.5,77.7,63.4,2.5%,0.9%
GOE 8K AIRFOIL (goe08k-il),18,15.7,26.9,24.1,44.4,43.5,103.5,96.2,143.1,122,14.9%,6.1%
GOE 7K AIRFOIL (goe07k-il),24.4,25.2,38.7,40.7,69.7,70.2,122.3,116.5,159.9,142.8,11%,4.5%
GOE 6K AIRFOIL (goe06k-il),26.4,28.3,45.7,44.6,74.4,77,117.9,116.5,147.6,132.8,7.5%,3.1%
GOE 5K AIRFOIL (goe05k-il),20.5,21.2,25.6,27.6,33.4,39.8,71.3,82.4,95.1,95.1,3.7%,1.5%
GM15 (smoothed) (gm15sm-il),45.2,46.1,66.2,66.9,91.5,86.9,123.6,112.4,146.5,119.5,6.7%,4.8%
Glenn Martin 4 (glennmartin4-il),22,27.8,42.8,40.9,54.7,49.7,64.9,62.8,79.4,77.5,15.5%,6%
Glenn Martin 3 (glennmartin3-il),32.5,29.1,41.6,38.4,54.8,47.1,62.8,62.6,78.7,78.2,13.8%,4.6%
GIII BL450 AIRFOIL (giiin-il),28.6,30.8,41.9,40.7,54.2,53,70.7,71.6,87.2,87.4,8.4%,2.1%
GIII BL430 AIRFOIL (giiim-il),29.7,31.3,43.2,41.4,56.1,52.2,70.6,70.5,85.9,85.7,8.5%,1.9%
GIII BL387 AIRFOIL (giiil-il),31.5,31.8,45,42.3,57.4,51.3,72.2,67.8,82,82.9,8.5%,1.6%
Glenn Martin 2 (glennmartin2-il),24.7,31.7,46.2,45.8,58.7,57.9,78.4,78.6,102.4,101.3,13.5%,6.1%
GIII BL369 AIRFOIL (giiik-il),32.1,32,45.7,42.6,58,51.9,72.3,66.4,79.9,81.3,8.5%,1.5%
GIII BL332 AIRFOIL (giiij-il),32.7,32.3,46.8,43.1,59.8,52.4,73.9,65.2,79.8,79.5,8.5%,1.4%
GIII BL288 AIRFOIL (giiii-il),33.5,32.6,47.5,43.9,61.1,53.5,75.3,63.3,79.2,78,8.5%,1.3%
GIII BL207 AIRFOIL (giiih-il),33.4,32.7,47.7,44.5,62,55.3,78.9,60.7,82.1,74.6,8.3%,1.3%
GIII BL167 AIRFOIL (giiig-il),31.9,32.4,46.7,44.6,65.9,56.1,78.8,62.1,83,73,8.3%,1.3%
GIII BL145 AIRFOIL (giiif-il),32.2,32.2,46.6,44.5,61.7,55.9,78.9,62.3,83.9,72.4,8.3%,1.3%
GIII BL126 AIRFOIL (giiie-il),32.9,32.3,47.1,44.6,61.6,55.8,76.7,60.4,81.7,72.1,8.8%,1.2%
GIII BL75 AIRFOIL (giiic-il),30.2,31,44.5,42.4,58.1,51.5,68.3,60.7,75.2,71,9.9%,0.9%
GIII BL45 AIRFOIL (giiib-il),28.6,29.6,41.7,39.5,52.6,50.7,68.5,61.9,76.3,70.3,10.4%,0.8%
GIII BL0 AIRFOIL (giiia-il),26.4,27.8,38.6,38.9,49.7,51.1,69.1,62.8,77.2,72,11%,0.7%
GEMINI (smoothed) (geminism-il),8.9,28.3,47.3,48.6,66.9,65.4,92.7,86.7,110.6,100.1,15.4%,2.2%
FX S 02/1-158 AIRFOIL (fxs21158-il),5.8,18.4,37.4,47.3,76.8,72.1,96.9,87.2,105.1,76,15.8%,3.5%
FX S 03-182 AIRFOIL (fxs03182-il),19.6,16.2,27.4,28.1,64.5,66.7,96.8,89.5,110.8,96.3,18.2%,2.9%
FX S 02-196 AIRFOIL (fxs02196-il),4.7,10.2,16.8,37.5,68.4,56,53.1,46.5,60.1,54.9,19.6%,3.7%
WORTMANN FX M2 AIRFOIL (fxm2-il),31.6,35.7,45.9,50.7,65.1,68.6,94.4,86.2,103.4,100.5,8.4%,4.8%
WORTMANN FX L V-152 AIRFOIL (fxlv152-il),27.1,27.4,42.6,38.2,52.3,45.3,59.9,53.9,66.8,62.6,15.3%,0%
FX LIII-142 K 25 AIRFOIL (fxl142k-il),27.1,28.3,42.1,39.6,54.8,47.5,63.1,60.6,75.2,72.1,14.2%,0%
FX 84-W-218 (fx84w218-il),2.8,6.7,7.1,24.7,57.4,49.4,79.7,72.6,101.2,90.6,22%,3.2%
FX 84-W-175 (fx84w175-il),4.5,10.3,26.6,34.1,68.4,69.8,108.6,100.1,135.1,124,17.6%,4.4%
FX 84-W-150 (fx84w150-il),5.5,14.6,42.2,47.4,77.3,77.4,116,111,146.3,133.3,15%,4.2%
FX 84-W-140 (fx84w140-il),5.9,17.2,46.3,50.6,79.3,79.7,118.1,113.3,147.9,136.4,14.1%,4.2%
FX 84-W-127 (fx84w127-il),25.8,24.3,53.8,54.8,80.6,79.8,115.7,110.3,142.5,131.7,12.8%,3.7%
FX 84-W-097 (fx84w097-il),36.1,36.8,56.5,55.6,76.9,73.5,104.3,96.2,123.6,112.1,9.7%,2.8%
FX 83-W-227 (fx83w227-il),2.3,7,8.9,31.3,56.2,50,73.2,62.9,84.4,73.5,22.6%,3.4%
FX 83-W-160 (fx83w160-il),30,24.5,45.3,42.8,76.5,69.6,109.6,96.4,131.2,109.6,16.1%,3.9%
FX 83-W-108 (fx83w108-il),36.8,34.5,61,60.4,90.5,86.8,129.6,117.7,157.2,115.4,10.9%,4.2%
WORTMANN FX 80-080 (fx80080-il),33.6,36.2,57.3,55.2,80.4,74.7,113.2,90.5,123.6,98,8.1%,2.2%
FX 79-W-660A (fx79w660a-il),0.8,3,5.2,5.5,8.7,6,5,4.7,6.5,5.4,66.4%,2.3%
FX 79-L-120 (fx79l120-il),27.9,27.9,40.9,38,52.6,43.9,58.7,60.4,73.8,74.9,12.1%,0%
FX 79-W-151 A (fx79w151a-il),4.8,19.1,35.6,47,69.8,71.4,104.1,102,132.2,126.1,15.2%,3.8%
FX 79-L-100 (fx79l100-il),27.7,27,38.6,35.9,50.1,41.5,58,58.1,70.6,72.7,10.1%,0%
WORTMANN FX 79-K-144/17 AIRFOIL (fx79k144-il),24.2,22.6,44.3,42.7,75.2,65,91.3,89,110.6,102.7,14.4%,2.8%
FX 78-PK-188/20 (fx78pk188-il),18.6,14.9,24.4,22.9,38.1,37.7,92.1,91,129.7,118.7,18.8%,2.4%
FX 78-K-161 (fx78k161-il),15.1,13.4,23.2,24.5,65.3,43.8,81.6,81,102.3,98.9,16.2%,2.8%
FX 78-K-150/20 (fx78k150-il),17.3,13.6,21.3,23.5,46.2,50,114.7,104.6,143.4,136,15.1%,4.3%
FX 78-K-140 A/20 (fx78k140a20-il),16.8,15.8,25.4,27.8,54.6,57.5,118.9,111.3,147.4,142.9,14.1%,4.4%
FX 78-K-140/20 (fx78k140-il),16.3,15,26.2,27.2,54.2,53.8,125.1,122.5,162.5,153.1,14.1%,4.4%
WORTMANN FX 77-W-343 AIRFOIL (fx77w343-il),-0.1,0.7,-0.5,1.8,3.6,20.8,45.2,59.6,86.8,87.6,34.4%,4.7%
FX 77-W-270S (fx77w270s-il),1.6,2,1.2,9,10.3,34.2,62.1,73.4,101.7,106.5,27.1%,4.2%
FX 77-W-270 (fx77w270-il),1.4,2.7,1.3,12.8,15.2,39.4,76.6,80.5,103.4,94,27.1%,4.3%
WORTMANN FX 77-W-258 AIRFOIL (fx77w258-il),1.5,2.5,1.2,10.5,9.5,36.5,76,83.2,112.5,103.6,26.1%,4.3%
WORTMANN FX 77-W-153 AIRFOIL (fx77w153-il),7.8,16,17.5,33.8,50.1,61.5,102.3,101.9,133.1,124,15.2%,4.5%
FX 77-W-121 (fx77w121-il),8.1,18,19,37.5,71.9,73.6,115.5,114.3,149.2,145.3,12.1%,4.6%
WORTMANN FX 77-080 (fx77080-il),24.7,23.9,33.7,33.2,42,43.2,58.4,58.6,71.2,72.7,8%,0%
FX 76-MP-160 (fx76mp160-il),5.3,16.4,44.4,40.1,76.3,72,120.9,109.3,152.5,110.6,16.1%,6.1%
FX 76-MP-140 (fx76mp140-il),5.9,14.1,37.8,37.3,78.1,78.3,138.2,131.5,181.6,153.4,14.1%,7.1%
FX 76-MP-120 (fx76mp120-il),6.8,16.5,42.9,41.8,85.9,88.5,147.3,141.5,192.6,174,12.1%,7.6%
WORTMANN FX 76-120 (fx76120-il),25,26.7,35.9,37.8,49.3,49.4,67.9,64.2,78.9,76.8,12.1%,0%
WORTMANN FX 76-100 (fx76100-il),25.6,26.1,35.4,36.2,47.1,46.1,62.9,61.3,75.1,75.4,10.1%,0%
FX 75-VG-166/22 (fx75vg166-il),20.6,17.2,28.7,25.7,43.1,45,82.4,84,107.8,103.3,16.7%,2.4%
WORTMANN FX 75-193 (fx75193-il),4.2,11.7,23.4,22.9,43.4,44.1,91.7,93.5,122.7,120.1,19.3%,3.7%
WORTMANN FX 75-141 (fx75141-il),30.3,26.7,54.3,53.5,83.8,77.3,111.9,103.2,134.9,120.6,14.1%,3.4%
FX 74-Cl5-140 MOD  (smoothed) (fx74modsm-il),6.2,28.8,41.7,58.1,76.4,84.1,118.7,119.7,152.6,149.8,13.1%,9.7%
FX 74-CL6-140 (fx74cl6140-il),5.8,18.9,19.9,40.7,48.3,72,114.8,120.5,157.9,158.6,14.1%,7.1%
FX74_CL5_140 (fx74cl5140-il),6.4,18.3,33.1,46.8,72.7,73.8,118.8,115.5,156.9,149.7,14%,9.9%
74-130 WP2 MOD (fx74130wp2mod-il),23.3,22.6,44.2,45,82.1,78.9,116.2,110.5,141.2,131.5,12.9%,3.9%
74-130 WP2 (fx74130wp2-il),23.1,22.1,37,36.5,72.6,75.3,125.8,119.5,161.4,150.8,13%,3.9%
FX 74-130 WP1 (fx74130wp1-il),24.1,23.8,39.7,39.8,72,71.2,119.3,115.8,152.6,145.6,13%,3.8%
WORTMANN FX 74-080 (fx74080-il),24.7,27.1,39.7,58,80.3,87,134.4,131.5,173.9,164.5,8.2%,4.3%
FX 73-K-170/22 (fx73k170-il),5.2,13.3,26.9,26.3,63,65.6,112.9,110,145.1,138,17.1%,4.6%
FX 73-CL3-152 (fx73cl3152-il),5.3,28.4,38.4,50.5,64,71,99.1,100.6,129.3,128.6,15.2%,8%
FX 73-CL2-152 (fx73cl2152-il),16.3,32.6,41.3,52.8,66.3,74.9,104.2,107.8,136.2,135.3,15.2%,6.6%
FX 73-CL1-152 (fx73cl1152-il),4.9,20.7,24.5,42.1,53.3,68.7,100.8,106.5,137.4,136.8,15.2%,6.1%
WORTMANN FX 73-170 A (fx73170a-il),4.8,11.1,18.1,17.4,31.2,51.2,117.8,110.3,151.7,144,17.1%,5.6%
FX 72-LS-160 (fx72ls160-il),5.2,8.4,14.5,13.3,22.3,58.5,121.2,125.7,175.1,174.3,16%,8.2%
WORTMANN FX 72-MS-150B AIRFOIL (fx72150b-il),5.8,9.1,7.8,39.7,56.1,76.9,117.1,117.5,154.4,151,15%,9.7%
WORTMANN FX 73-170 (fx73170-il),17.8,15.1,24.9,24.5,43.1,45.6,110.3,112.7,151.5,147.3,17.1%,4.4%
WORTMANN FX 72-MS-150A AIRFOIL (fx72150a-il),6,10.4,13.2,40.5,58.2,78.4,123.1,121.1,160.2,154,15%,8.3%
FX 71-L-150/30 AIRFOIL (fx71l150-il),27.3,26.9,39.5,35.2,47.2,40.1,51.8,49.1,59.2,58.3,15%,0%
FX 71-L-150/30 AIRFOIL (fx711530-il),27.3,26.9,39.5,35.2,47.2,40.1,51.8,49.1,59.2,58.3,15%,0%
FX 71-L-150/25 AIRFOIL (fx711525-il),27.4,26.8,38.7,34.2,46.1,39.1,50.5,48.3,58.2,57.4,15%,0%
FX 71-L-150/20 AIRFOIL (fx711520-il),27.2,25.6,36.7,33.3,44.3,38.6,49.1,48,57.9,56.8,15%,0%
WORTMANN FX 71-120 AIRFOIL (fx71120-il),20.3,21.2,26.3,29.1,34.5,38.9,50.3,56.3,64.4,71.8,12%,0%
WORTMANN FX 71-089A AIRFOIL (fx71089a-il),19.7,19.6,25.6,26.9,31.3,36.4,46.1,52.3,59.9,68,8.9%,0%
FX 69-PR-281 (fx69pr281-il),3.4,6.4,21.5,26.1,41.1,35,49.6,47.1,64.7,61.7,28.1%,5.6%
BELL/WORTMANN FX 69-H-098 AIRFOIL (fx69h098-il),27.6,31.2,43.7,45.4,59.7,59.6,81.6,79,98.4,93.7,9.9%,1.7%
BELL/WORTMANN FX 69-H-083 AIRFOIL (fx69h083-il),36.3,37,53,52.4,69.7,66.2,90.1,78.8,101,81.6,8.4%,2.5%
FX 68-H-120 (fx68h120-il),28.3,29.2,40.2,41,54.5,54.3,74.9,73.2,91.4,88.2,11.8%,2.3%
FX 67-K-170/17 AIRFOIL (fx67k170-il),5,11.8,20.1,19.9,36.6,48.2,116.9,111.4,152.7,141.3,17%,5.1%
FX 67-K-150/17 AIRFOIL (fx67k150-il),5.8,14.3,25,27.1,61.6,68.5,126.3,118.2,157.2,147.8,15%,4.8%
FX 66-S-196 AIRFOIL (fx66s196-il),4.5,9.5,14.8,20,37.2,59.7,105.4,103.5,137.4,130.8,19.6%,3.8%
FX 66-S-171 AIRFOIL (fx66s171-il),5,12.7,13.3,39.2,70.3,72.4,113.9,113.4,147.6,133.8,17.1%,3.9%
FX 66-S-161 AIRFOIL (fx66s161-il),5.3,16.2,16.6,42.4,73.8,75.7,116,114.9,148.7,134.5,16.1%,3.9%
FX 66-H-80 (fx66h80-il),32.1,31.9,47.5,47.4,63,62.8,87.6,83.5,105.3,98.4,8%,2.5%
FX 66-H-60 (fx66h60-il),28.6,29.9,37.9,40.1,51.3,51.3,69.8,67.8,84.1,76.8,6%,1.7%
